Kürzel,Kanton,Name,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %
,,28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»,30679,14056,46,13746,4184,9562,30
,,18.05.2014 Beschaffung des Kampfflugzeugs Gripen,30635,19332,63,18805,12818,5987,68
,,18.05.2014 Mindestlohn-Initiative,30635,19354,63,18910,2425,16485,13
,,18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,30635,19207,63,18406,10906,7500,59
,,18.05.2014 Medizinische Grundversorgung,30635,19084,62,18108,15069,3039,83
,,09.02.2014 Initiative «Gegen Masseneinwanderung»,30655,18568,61,18175,10693,7482,59
,,09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»,30655,18485,60,18011,7159,10852,40
,,09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur,30655,18422,60,17913,9252,8661,52
,,24.11.2013 Nationalstrassenabgabegesetz (NSAG),30590,17925,59,17524,6813,10711,39
,,24.11.2013 Familieninitiative,30590,17921,59,17460,7616,9844,44
,,24.11.2013 Initiative «1:12 - für gerechte Löhne»,30590,17916,59,17475,4396,13079,25
,,22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops,30589,15280,50,14758,9227,5531,63
,,22.09.2013 Epidemiengesetz,30589,15293,50,14740,8263,6477,56
,,22.09.2013 Aufhebung der Wehrpflicht,30589,15372,50,15051,2371,12680,16
,,09.06.2013 Asylgesetz,30616,13158,43,12776,11073,1703,87
,,09.06.2013 «Volkswahl des Bundesrates»,30616,13191,43,12957,3404,9553,26
,,03.03.2013 Raumplanungsgesetz,30567,14999,49,14575,8617,5958,59
,,03.03.2013 Initiative «gegen die Abzockerei»,30567,15058,49,14654,8461,6193,58
,,03.03.2013 Familienpolitik,30567,15027,49,14626,6002,8624,41
,,25.11.2012 Tierseuchengesetz,30476,7900,26,7708,4101,3607,53
,,23.09.2012 «Schutz vor Passivrauchen»,30484,14522,48,14205,3914,10291,28
,,23.09.2012 «Sicheres Wohnen im Alter»,30484,14369,47,13880,6736,7144,49
,,23.09.2012 Jugendmusikförderung,30484,14353,47,13855,7876,5979,57
,,17.06.2012 Krankenversicherungsgesetz (Managed Care),30536,12554,41,12183,3005,9178,25
,,17.06.2012 Initiative «Staatsverträge vors Volk!»,30536,12537,41,12206,3482,8724,29
,,17.06.2012 «Eigene vier Wände dank Bausparen»,30536,12486,41,12079,3519,8560,29
,,11.03.2012 Buchpreisbindung,30447,14639,48,13902,5530,8372,40
,,11.03.2012 Regelung der Geldspiele zugunsten gemeinnütziger Zwecke,30447,14626,48,13884,11698,2186,84
,,11.03.2012 6 Wochen Ferien für alle,30447,14821,49,14516,3137,11379,22
,,11.03.2012 Für ein steuerlich begünstigtes Bausparen,30447,14671,48,13969,5820,8149,42
,,11.03.2012 Schluss mit uferlosem Bau von Zweitwohnungen!,30447,14731,48,14302,6000,8302,42
,,13.02.2011 Waffeninitiative,30265,15908,53,15644,4885,10759,31
,,28.11.2010 Steuergerechtigkeits-Initiative,30230,18292,61,17617,3540,14077,20
,,28.11.2010 Gegenentwurf zur Ausschaffungsinitiative,30230,18435,61,17985,7298,10278,42
,,28.11.2010 Ausschaffungsinitiative,30230,18435,61,17985,10835,6993,61
,,26.09.2010 Revision des Arbeitslosenversicherungsgesetzes,30119,11790,39,11529,7760,3769,67
,,07.03.2010 Berufliche Vorsorge: Anpassung des Mindestumwandlungssatzes,30039,17008,57,16311,5754,10557,35
,,07.03.2010 Tierschutzanwalt-Initiative,30039,17027,57,16565,3161,13404,19
,,07.03.2010 Forschung am Menschen,30039,16891,56,16010,11981,4029,75
,,29.11.2009 Verbot von Minaretten,30006,17094,57,16569,10399,6170,63
,,29.11.2009 Verbot von Kriegsmaterial-Exporten,30006,17050,57,16554,1987,14567,12
,,29.11.2009 Spezialfinanzierung für Aufgaben im Luftverkehr,30006,16777,56,15692,10847,4845,69
,,27.09.2009 Verzicht auf die Einführung der allgemeinen Volksinitiative,30009,12201,41,11590,7883,3707,68
,,27.09.2009 IV-Zusatzfinanzierung,30009,12362,41,12166,5517,6649,45
,,17.05.2009 Biometrische Pässe,29942,11388,38,11047,6025,5022,55
,,17.05.2009 Verfassungsartikel zur Komplementärmedizin,29942,11410,38,11115,7203,3912,65
,,08.02.2009 Personenfreizügigkeit Schweiz-EU,29964,17391,58,17007,8548,8459,50
,,30.11.2008 Betäubungsmittelgesetz,29842,13798,46,13096,9181,3915,70
,,30.11.2008 Hanfinitiative,29842,13847,46,13341,4264,9077,32
,,30.11.2008 Verbandsbeschwerderechts-Initiative,29842,13827,46,13296,6307,6989,47
,,30.11.2008 Initiative für ein flexibles AHV-Alter,29842,13924,47,13628,4189,9439,31
,,30.11.2008 Unverjährbarkeit pornografischer Straftaten an Kindern,29842,13876,47,13469,6423,7046,48
,,01.06.2008 Gesundheitsartikel,29697,13587,46,12850,5727,7123,45
,,01.06.2008 Initiative «gegen Behördenprogaganda»,29697,13581,46,12970,4186,8784,32
,,01.06.2008 Einbürgerungsinitiative,29697,13681,46,13294,6523,6771,49
,,24.02.2008 Unternehmenssteuerreform II,29667,14956,50,14296,9196,5100,64
,,24.02.2008 Initiative gegen Kampfjetlärm,29667,15105,51,14700,2867,11833,20
,,17.06.2007 5. IV-Revision,29455,10447,36,10194,6782,3412,67
,,11.03.2007 Einheitskrankenkasse,29468,13180,45,12981,1490,11491,12
,,26.11.2006 Familienzulagen,29283,12842,44,12547,6312,6235,50
,,26.11.2006 Ostzusammenarbeit,29283,12860,44,12536,5485,7051,44
,,24.09.2006 Asylgesetz,29214,14337,49,14020,11153,2867,80
,,24.09.2006 Ausländergesetz,29214,14325,49,13991,11149,2842,80
,,24.09.2006 KOSA-Initiative,29214,14290,49,13918,3697,10221,27
,,21.05.2006 Bildungsartikel,29109,9805,34,9479,7968,1511,84
,,27.11.2005 Sonntagsarbeit,29029,12045,42,11844,5760,6084,49
,,27.11.2005 Gentechfrei-Initiative,29029,12007,41,11760,5999,5761,51
,,25.09.2005 Ausdehnung der Personenfreizügigkeit,28926,16173,56,15850,7318,8532,46
,,05.06.2005 Partnerschaftsgesetz,28764,17582,61,17079,9379,7700,55
,,05.06.2005 Abkommen zu Schengen und Dublin,28764,17606,61,17176,7332,9844,43
,,28.11.2004 Stammzellenforschungsgesetz,28644,10912,38,10577,6395,4182,61
,,28.11.2004 Neue Finanzordnung,28644,10853,38,10430,6470,3960,62
,,28.11.2004 Neugestaltung Finanzausgleich,28644,10869,38,10489,4826,5663,46
,,26.09.2004 Erwerbsersatz für Dienstleistende und bei Mutterschaft,28591,16609,58,16216,6456,9760,40
,,26.09.2004 Postdienst für alle,28591,16530,58,15943,6183,9760,39
,,26.09.2004 Bürgerrechtserwerb für die dritte Generation,28591,16607,58,16212,5769,10443,36
,,26.09.2004 Erleichterte Einbürgerung von Jugendlichen der zweiten Generation,28591,16567,58,16175,4659,11516,29
,,16.05.2004 Steuerpaket,28453,15047,53,14658,6312,8346,43
,,16.05.2004 Anhebung der Mehrwertsteuer für AHV/IV,28453,15029,53,14645,3177,11468,22
,,16.05.2004 11. AHV-Revision,28453,15026,53,14596,5855,8741,40
,,08.02.2004 Initiative zur Verwahrung gefährlicher Straftäter,28342,14370,51,13968,7976,5992,57
,,08.02.2004 Mietrecht,28342,14327,51,13539,5941,7598,44
,,08.02.2004 Gegenentwurf zur Avanti-Initiative,28342,14430,51,14174,5060,9114,36
,,18.05.2003 Lehrstelleninitiative,28095,15523,55,14897,2401,12496,16
,,18.05.2003 Moratorium Plus,28095,15567,55,15113,5413,9700,36
,,18.05.2003 Strom ohne Atom,28095,15599,56,15198,5052,10146,33
,,18.05.2003 Gleiche Rechte für Behinderte,28095,15585,56,15063,3898,11165,26
,,18.05.2003 Gesundheitsinitiative,28095,15572,55,15003,1937,13066,13
,,18.05.2003 Sonntagsinitiative,28095,15608,56,15225,4692,10533,31
,,18.05.2003 Ja zu fairen Mieten,28095,15526,55,14849,2846,12003,19
,,18.05.2003 Zivilschutz,28095,15513,55,14885,11523,3362,77
,,18.05.2003 Armee XXI,28095,15502,55,14833,10994,3839,74
,,09.02.2003 Kantonale Beiträge an Spitalbehandlungen,27956,7928,28,7657,5911,1746,77
,,09.02.2003 Änderung Volksrechte,27956,7930,28,7648,5425,2223,71
,,24.11.2002 Arbeitslosenversicherungsgesetz,27857,12296,44,11921,7392,4529,62
,,24.11.2002 Gegen Asylrechtsmissbrauch,27857,12356,44,12153,6568,5585,54
,,22.09.2002 Elektrizitätsmarktgesetz,27866,19011,68,17664,9679,7985,55
,,22.09.2002 Gold für AHV, Kantone und Stiftung,27866,19115,69,18262,7545,10052,43
,,22.09.2002 Goldinitiative,27866,19115,69,18262,7218,10639,40
,,02.06.2002 Für Mutter und Kind,27729,12637,46,12233,2533,9700,21
,,02.06.2002 Fristenregelung,27729,12661,46,12259,7737,4522,63
,,03.03.2002 Kürzere Arbeitszeit,27687,19053,69,18647,2799,15848,15
,,03.03.2002 UNO-Beitritt,27687,19106,69,18708,8691,10017,47
,,02.12.2001 Kapitalgewinnsteuer,27492,11271,41,10950,2419,8531,22
,,02.12.2001 Ziviler Friedensdienst,27492,11282,41,10957,1446,9511,13
,,02.12.2001 Schweiz ohne Armee,27492,11281,41,11003,1523,9480,14
,,02.12.2001 Energie statt Arbeit besteuern,27492,11271,41,10943,1518,9425,14
,,02.12.2001 Schuldenbremse,27492,11262,41,10911,9776,1135,90
,,10.06.2001 Aufhebung Bistumsartikel,27309,13236,49,12526,8502,4024,68
,,10.06.2001 Militärgesetz: Ausbildungszusammenarbeit,27309,13355,49,13094,6128,6966,47
,,10.06.2001 Militärgesetz: Bewaffnung,27309,13350,49,13113,6154,6959,47
,,04.03.2001 Strassen für alle,27267,16573,61,16326,2268,14058,14
,,04.03.2001 Arzneimittel-Initiative,27267,16554,61,16198,4426,11772,27
,,04.03.2001 Ja zu Europa!,27267,16553,61,16274,1759,14515,11
,,26.11.2000 Bundespersonalgesetz,27150,11480,42,11010,8506,2504,77
,,26.11.2000 Spitalkosteninitiative,27150,11571,43,11295,1892,9403,17
,,26.11.2000 Umverteilungsinitiative,27150,11585,43,11351,2483,8868,22
,,26.11.2000 Rentenalter ab 62 für Frau und Mann,27150,11578,43,11328,3670,7658,32
,,26.11.2000 Flexibilisierung der AHV,27150,11561,43,11289,2862,8427,25
,,24.09.2000 Konstruktives Referendum,27039,12837,48,11680,3570,8110,31
,,24.09.2000 Regelung der Zuwanderung,27039,12894,48,12121,4846,7275,40
,,24.09.2000 Umweltabgabe,27039,12846,48,11898,4139,7759,35
,,24.09.2000 Förderabgabe,27039,12806,47,11899,4353,7281,37
,,24.09.2000 Solarinitiative,27039,12806,47,11899,2876,8906,24
,,21.05.2000 Bilaterale Abkommen mit der EU,26957,14802,55,14534,8119,6415,56
,,12.03.2000 Verkehrshalbierungs-Initiative,26897,11964,45,11752,1885,9867,16
,,12.03.2000 Menschenwürdige Fortpflanzung,26897,11934,44,11580,2831,8749,24
,,12.03.2000 Quoten-Initiative,26897,11933,44,11662,1251,10411,11
,,12.03.2000 Beschleunigungs-Initiative,26897,11907,44,11568,3128,8440,27
,,12.03.2000 Justizreform,26897,11865,44,11357,9881,1476,87
,,13.06.1999 Mutterschaftsversicherung,26699,13969,52,13739,3064,10675,22
,,13.06.1999 Invalidenversicherung,26699,13899,52,13357,3897,9460,29
,,13.06.1999 Verschreibung von Heroin,26699,13917,52,13478,6906,6572,51
,,13.06.1999 Massnahmen Asyl- und Ausländerbereich,26699,13916,52,13335,9652,3683,72
,,13.06.1999 Asylgesetz,26699,13857,52,13273,9350,3923,70
,,18.04.1999 Neue Bundesverfassung,26666,11515,43,11343,4641,6702,41
,,07.02.1999 Raumplanungsgesetz,26590,11304,43,10976,5902,5074,54
,,07.02.1999 Wohneigentums-Initiative,26590,11355,43,11158,4877,6281,44
,,07.02.1999 Transplantationsmedizin,26590,11308,43,10866,9033,1833,83
,,07.02.1999 Wählbarkeit in den Bundesrat,26590,11323,43,11067,7750,3317,70
,,29.11.1998 Arbeitsgesetz,26531,11472,43,10948,6450,4498,59
,,29.11.1998 Vernünftige Drogenpolitik,26531,11574,44,11266,2817,8449,25
,,29.11.1998 Getreideartikel,26531,11453,43,10849,7774,3075,72
,,29.11.1998 Finanzierung öffentlicher Verkehr (FinöV),26531,11534,44,11278,6244,5034,55
,,27.09.1998 10. AHV-Revision ohne Erhöhung Rentenalter,26397,15818,60,15453,4224,11229,27
,,27.09.1998 Kleinbauern-Initiative,26397,15812,60,15373,2325,13048,15
,,27.09.1998 Leistungsabhängige Schwerverkehrsabgabe (LSVA),26397,15883,60,15643,8120,7523,52
,,07.06.1998 S.o.S.-Initiative,26342,10748,41,10305,2133,8172,21
,,07.06.1998 Gen-Schutz-Initiative,26342,10946,42,10649,3619,7030,34
,,07.06.1998 Haushaltsziel 2001,26342,10789,41,10288,7912,2376,77
,,28.09.1997 Jugend ohne Drogen,26125,10438,40,10252,2988,7264,29
,,28.09.1997 Finanzierung der Arbeitslosenversicherung,26125,10400,40,10147,5942,4205,59
,,08.06.1997 Aufhebung Pulverregal,26090,12378,47,11673,9764,1909,84
,,08.06.1997 Kriegsmaterial-Initiative,26090,12469,48,12301,1237,11064,10
,,08.06.1997 EU-Beitrittsverhandlungen vors Volk,26090,12407,48,12134,3476,8658,29
,,01.12.1996 Arbeitsgesetz,25902,12827,50,12604,4270,8334,34
,,01.12.1996 Gegen die illegale Einwanderung,25902,12813,50,12527,6673,5854,53
,,09.06.1996 Regierungs- und Verwaltungsorganisationsgesetz,25727,8540,33,8273,2298,5975,28
,,09.06.1996 Landwirtschaftsartikel,25727,8549,33,8351,6013,2338,72
,,10.03.1996 Aufhebung Beiträge an Bahnhofparkplätze,25620,10800,42,10357,5764,4593,56
,,10.03.1996 Übernahme von Branntwein und Brennapparaten,25620,10753,42,10168,7789,2379,77
,,10.03.1996 Persönliche militärische Ausrüstung,25620,10792,42,10450,3605,6845,35
,,10.03.1996 Übertritt Vellerat zum Kanton Jura,25620,10802,42,10295,9415,880,92
,,10.03.1996 Sprachenartikel,25620,10790,42,10380,7135,3245,69
,,25.06.1995 Erwerb von Grundstücken durch Ausländer,25500,16862,66,16296,6972,9324,43
,,25.06.1995 Ausbau von AHV und IV,25500,16850,66,16266,3390,12876,21
,,25.06.1995 10. AHV-Revision,25500,16869,66,16415,10368,6047,63
,,12.03.1995 Ausgabenbremse,25390,9805,39,9491,7797,1694,82
,,12.03.1995 Landwirtschaftsgesetz,25390,9808,39,9649,3096,6553,32
,,12.03.1995 Milchwirtschaftsbeschluss,25390,9821,39,9656,3421,6235,35
,,12.03.1995 Landwirtschaftsartikel,25390,9813,39,9652,4780,4872,50
,,04.12.1994 Zwangsmassnahmen im Ausländerrecht,25410,11050,44,10834,8422,2412,78
,,04.12.1994 Für eine gesunde Krankenversicherung,25410,11056,44,10843,1544,9299,14
,,04.12.1994 Krankenversicherungsgesetz,25410,11050,44,10826,4432,6394,41
,,25.09.1994 Antirassismusgesetz,25319,12023,48,11871,5905,5966,50
,,25.09.1994 Aufhebung Brotgetreideverbilligung,25319,11929,47,11536,7263,4273,63
,,12.06.1994 UNO-Blauhelme,25179,11963,48,11728,4089,7639,35
,,12.06.1994 Erleichterte Einbürgerung für junge Ausländer,25179,11960,48,11783,5784,5999,49
,,12.06.1994 Kulturförderungsartikel,25179,11931,47,11625,5294,6331,46
,,20.02.1994 Luftfahrtgesetz,25132,12027,48,11356,7044,4312,62
,,20.02.1994 Alpen-Initiative,25132,12134,48,11980,7213,4767,60
,,20.02.1994 Einführung leistungsabhängige Schwerverkehrsabgabe,25132,12095,48,11770,8132,3638,69
,,20.02.1994 Weiterführung Schwerverkehrsabgabe,25132,12096,48,11880,8923,2957,75
,,20.02.1994 Weiterführung Autobahnvignette,25132,12102,48,11916,8427,3489,71
,,28.11.1993 Verminderung Tabakprobleme,25070,11656,47,11492,2369,9123,21
,,28.11.1993 Verminderung Alkoholprobleme,25070,11651,47,11497,2343,9154,20
,,28.11.1993 Besondere Verbrauchssteuern,25070,11612,46,11239,7134,4105,64
,,28.11.1993 Mehrwertsteuer-% für AHV,25070,11636,46,11303,6921,4382,61
,,28.11.1993 Mehrwertsteuer Satz 6,5%,25070,11614,46,11331,6658,4673,59
,,28.11.1993 Einführung Mehrwertsteuer,25070,11623,46,11385,8087,3298,71
,,26.09.1993 Massnahmen in der Arbeitslosenversicherung,25056,9137,37,8800,6514,2286,74
,,26.09.1993 Befristete Massnahmen in der Krankenversicherung,25056,9132,36,8859,7143,1716,81
,,26.09.1993 1. August-Initiative,25056,9153,37,8994,7131,1863,79
,,26.09.1993 Kantonswechsel Laufental zu Basel-Landschaft,25056,9115,36,7613,5942,1671,78
,,26.09.1993 Waffenmissbrauch,25056,9150,37,8993,7316,1677,81
,,06.06.1993 Schweiz ohne neue Kampfflugzeuge,24905,15851,64,15667,3510,12157,22
,,06.06.1993 40 Waffenplätze sind genug,24905,15846,64,15679,3960,11719,25
,,07.03.1993 Abschaffung der Tierversuche,24782,13040,53,12798,2925,9873,23
,,07.03.1993 Aufhebung Spielbankenverbot,24782,13040,53,12836,10031,2805,78
,,07.03.1993 Erhöhung Treibstoffzoll,24782,13034,53,12884,7522,5362,58
,,06.12.1992 EWR-Beitritt,24745,20811,84,20547,6957,13590,34
,,27.09.1992 Bäuerliches Bodenrecht,24714,11570,47,11183,5954,5229,53
,,27.09.1992 Stempelabgaben,24714,11559,47,11179,7026,4153,63
,,27.09.1992 Infrastrukturgesetz,24714,11490,47,10819,2400,8419,22
,,27.09.1992 Entschädigungsgesetz,24714,11524,47,10999,2228,8771,20
,,27.09.1992 Geschätsverkehrsgesetz,24714,11466,46,10684,5135,5549,48
,,27.09.1992 Alpentransit-Beschluss (NEAT),24714,11625,47,11442,6858,4584,60
,,17.05.1992 Reform Sexualstrafrecht,24613,10776,44,10354,7658,2696,74
,,17.05.1992 Zivildienst für Dienstverweigerer,24613,10800,44,10564,8816,1748,84
,,17.05.1992 Fortpflanzungs- und Gentechnologie,24613,10785,44,10461,7986,2475,76
,,17.05.1992 Gewässerschutz-Initiative,24613,10792,44,10574,2475,8099,23
,,17.05.1992 Gewässerschutzgesetz,24613,10792,44,10580,5688,4892,54
,,17.05.1992 Mitwirkung an den Institutionen von Bretton Woods,24613,10686,43,9915,5321,4594,54
,,17.05.1992 Beitritt zu den Institutionen von Bretton Woods,24613,10699,44,9950,5286,4664,53
,,16.02.1992 Weg vom Tierversuch,24549,9858,40,9735,4092,5643,42
,,16.02.1992 Krankenkasseninitiative,24549,9851,40,9660,3884,5776,40
,,02.06.1991 Militärstrafgesetz,24390,7564,31,7428,4510,2918,61
,,02.06.1991 Neuordnung Bundesfinanzen (Einführung Mehrwertsteuer),24390,7543,31,7385,3080,4305,42
,,03.03.1991 Förderung öffentlicher Verkehr,23387,7101,30,6993,1850,5143,27
,,03.03.1991 Stimmrecht für 18-jährige,23387,7101,30,7055,5401,1654,77
,,23.09.1990 Strassenverkehrsgesetz,23220,10340,45,10105,5394,4711,53
,,23.09.1990 Energieartikel,23220,10365,45,10194,7585,2609,74
,,23.09.1990 Moratorium Atomkraftwerkbau,23220,10385,45,10262,5445,4817,53
,,23.09.1990 Ausstieg Atomenergie,23220,10376,45,10245,4774,5471,47
,,01.04.1990 Organisation der Bundesrechtspflege,22951,13284,58,12248,6635,5613,54
,,01.04.1990 Rebbaubeschluss,22951,13286,58,12292,6437,5855,52
,,01.04.1990 Freie Aarelandschaft Biel-Solothurn,22951,13354,58,13058,3908,9150,30
,,01.04.1990 Autobahnfreies Kononauer Amt,22951,13395,58,13188,3404,9784,26
,,01.04.1990 Autobahnfreie Landschaft Murten-Yverdon,22951,13362,58,13096,3783,9313,29
,,01.04.1990 Begrenzung des Strassenbaus,22951,13384,58,13189,3021,10168,23
,,26.11.1989 Pro Tempo 130/100,22822,17009,75,16839,6051,10788,36
,,26.11.1989 Schweiz ohne Armee,22822,17008,75,16753,4802,11951,29
,,04.06.1989 Kleinbauern-Initiative,22610,8408,37,8203,2736,5467,33
,,04.12.1988 Begrenzung der Einwanderung,22400,12053,54,11910,3281,8629,28
,,04.12.1988 Herabsetzung Arbeitszeit,22400,12070,54,11976,2199,9777,18
,,04.12.1988 Gegen die Bodenspekulation,22400,12063,54,11896,2632,9264,22
,,12.06.1988 Herabsetzung AHV-Rentenalter,22281,9250,42,9174,1938,7236,21
,,12.06.1988 Koordinierte Verkehrspolitik,22281,9271,42,9148,4066,5082,44
,,06.12.1987 Rothenthurm-Initiative,22145,11510,52,11334,5877,5457,52
,,06.12.1987 Krankenversicherungsgesetz,22145,11502,52,11334,2371,8963,21
,,06.12.1987 Bahn 2000,22145,11516,52,11377,6377,5000,56
,,05.04.1987 Initiativen mit Gegenentwurf,21952,9692,44,9312,5421,3891,58
,,05.04.1987 Rüstungsreferendum,21952,9714,44,9554,3026,6528,32
,,05.04.1987 Ausländergesetz,21952,9684,44,9277,6410,2867,69
,,05.04.1987 Asylgesetz,21952,9711,44,9504,6777,2727,71
,,07.12.1986 Besteuerung Schwerverkehr,21841,7777,36,7683,1946,5737,25
,,07.12.1986 Mieterschutz,21841,7777,36,7675,4071,3604,53
,,28.09.1986 Zuckerbeschluss,21825,7746,36,7591,3124,4467,41
,,28.09.1986 Berufsbildung und Umschulung,21825,7753,36,7579,597,6982,8
,,28.09.1986 Gegenentwurf zur Kulturinitiative,21825,7711,35,7373,3272,3277,50
,,28.09.1986 Kulturinitiative,21825,7711,35,7373,749,5914,11
,,16.03.1986 UNO-Beitritt,21510,12616,59,12521,1880,10641,15
,,01.12.1985 Abschaffung der Vivisektion,21415,7576,35,7478,2110,5368,28
,,22.09.1985 Neues Eherecht,21327,9433,44,9249,4564,4685,49
,,22.09.1985 Innovationsrisikogarantie,21327,9392,44,8849,3305,5544,37
,,22.09.1985 Koordination Schuljahresbeginn,21327,9448,44,9345,8649,696,93
,,09.06.1985 Selbstversorgung mit Brotgetreide,21139,7781,37,7340,3743,3597,51
,,09.06.1985 Neuverteilung Alkoholabgabe,21139,7766,37,7284,4992,2292,69
,,09.06.1985 Kantonsanteil Stempelabgaben,21139,7783,37,7301,4615,2686,63
,,09.06.1985 Recht auf Leben,21139,7877,37,7719,4084,3635,53
,,10.03.1985 Verlängerung bezahlte Ferien,21035,6857,33,6796,1399,5397,21
,,10.03.1985 Ausbildungsbeiträge,21035,6843,33,6702,3499,3203,52
,,10.03.1985 Beiträge Gesundheitswesen,21035,6842,33,6696,3867,2829,58
,,10.03.1985 Beiträge Primarschulunterricht,21035,6842,33,6716,4144,2572,62
,,02.12.1984 Hilfe für Opfer von Gewaltverbrechen,20934,7837,37,7696,6220,1476,81
,,02.12.1984 Radio- und Fernsehartikel,20934,7829,37,7478,4956,2522,66
,,02.12.1984 Mutterschutz-Initiative,20934,7840,38,7767,570,7197,7
,,23.09.1984 Umweltgerechte Energieversorgung,20823,9397,45,9269,3883,5386,42
,,23.09.1984 Zukunft ohne neue Atomkraftwerke,20823,9384,45,9253,3987,5266,43
,,20.05.1984 Gegen den Ausverkauf der Heimat,20765,8728,42,8591,3913,4678,46
,,20.05.1984 Banken-Initiative,20765,8736,42,8612,1880,6732,22
,,26.02.1984 Zivildienst-Initiative,20534,12059,59,11911,2906,9005,24
,,26.02.1984 Einführung Autobahnvignette,20534,12065,59,11972,7137,4835,60
,,26.02.1984 Erhebung Schwerverkehrsabgae,20534,12052,59,11957,6792,5165,57
,,04.12.1983 Erleichterung Einbürgerungen,20397,6384,31,6275,2318,3957,37
,,04.12.1983 Bürgerrechtsregelung,20397,6447,32,6350,3503,2847,55
,,27.02.1983 Energieartikel,20060,7761,39,7641,2876,4765,38
,,27.02.1983 Neuregelung Treibstoffzölle,20060,7767,39,7695,3948,3747,51
,,28.11.1982 Gegenentwurf zur Preisüberwachungs-Initiative,19973,6262,31,6192,1639,3837,30
,,28.11.1982 Preisüberwachungs-Initiative,19973,6262,31,6192,2708,3260,45
,,06.06.1982 Ausländergesetz,19669,6527,33,6379,3183,3196,50
,,06.06.1982 Strafgesetzbuch,19669,6545,33,6421,4353,2068,68
,,29.11.1981 Weiterführung Finanzordnung,19471,6154,32,6083,4215,1868,69
,,14.06.1981 Konsumentenschutzartikel,19246,7223,38,7061,3961,3100,56
,,14.06.1981 Gleichstellung von Mann und Frau,19246,7235,38,7141,3508,3633,49
,,05.04.1981 Neue Ausländerpolitik,19103,8159,43,8088,794,7294,10
,,30.11.1980 Brotgetreideordnung,18849,8456,45,8309,5232,3077,63
,,30.11.1980 Alkoholeinnahmen,18849,8449,45,8263,5867,2396,71
,,30.11.1980 Kantonsanteil Stempelabgaben,18849,8454,45,8240,5554,2686,67
,,30.11.1980 Gurten- und Schutzhelmobligatorium,18849,8479,45,8374,4093,4281,49
,,02.03.1980 Neuordnung Landesversorgung,18460,7123,39,6962,6068,894,87
,,02.03.1980 Trennung Kirche und Staat,18460,7141,39,7074,847,6227,12
,,20.05.1979 Atomgesetz,18124,7746,43,7603,5312,2291,70
,,20.05.1979 Umsatz- und direkte Bundessteuer,18124,7760,43,7691,2514,5177,33
,,18.02.1979 Volksrechte und Atomsicherheit,18005,9978,55,9822,4535,5287,46
,,18.02.1979 Gegen Suchtmittelreklame,18005,9988,56,9877,3620,6257,37
,,18.02.1979 Fuss- und Wanderwege,18005,9990,56,9880,7078,2802,72
,,18.02.1979 Stimmrecht für 18-Jährige,18005,10001,56,9906,3934,5972,40
,,03.12.1978 Berufsbildungsgesetz,17935,8129,45,7931,4300,3631,54
,,03.12.1978 Sicherheitspolizei,17935,8152,46,8036,3389,4647,42
,,03.12.1978 Tierschutzgesetz,17935,8131,45,8039,6145,1894,76
,,03.12.1978 Milchwirtschaftsbeschluss,17935,8119,45,7906,5777,2129,73
,,24.09.1978 Gründung des Kantons Jura,17876,7560,42,7451,6446,1005,87
,,28.05.1978 12 autofreie Sonntage,17739,10269,58,10202,2806,7396,28
,,28.05.1978 Hochschulförderung,17739,10275,58,10068,3382,6686,34
,,28.05.1978 Schwangerschaftsabbruch,17739,10273,58,9927,2975,6952,30
,,28.05.1978 Zolltarifgesetz,17739,10247,58,9934,5420,4514,55
,,28.05.1978 Zeitgesetz,17739,10294,58,10188,4091,6097,40
,,26.02.1978 Konjunkturartikel,17660,8957,51,8559,5440,3119,64
,,26.02.1978 Herabsetzung AHV-Alter,17660,8971,51,8913,1057,7856,12
,,26.02.1978 9. AHV-Revision,17660,8961,51,8819,5214,3605,59
,,26.02.1978 Mitbestimmung im Nationalstrassenbau,17660,8967,51,8803,2910,5893,33
,,04.12.1977 Ausgleich des Bundeshaushaltes,17582,7486,43,7281,5027,2254,69
,,04.12.1977 Ziviler Ersatzdienst,17582,7486,43,7370,1893,5477,26
,,04.12.1977 Politische Rechte,17582,7468,43,7161,4951,2210,69
,,04.12.1977 Reichtumssteuer-Initiative,17582,7492,43,7392,2094,5298,28
,,25.09.1977 Fristenlösungs-Initiative,17542,11008,63,10787,2602,8185,24
,,25.09.1977 Unterschriftenzahl für Initiativen,17542,10927,62,10517,6885,3632,66
,,25.09.1977 Unterschriftenzahl für Referenden,17542,10955,63,10561,7103,3458,67
,,25.09.1977 Albatrosinitiative,17542,10964,63,10634,3200,7434,30
,,25.09.1977 Gegenentwurf zur Mieterschutzinitiative,17542,10937,62,10567,5643,4143,58
,,25.09.1977 Mieterschutzinitiative,17542,10937,62,10567,2898,7414,28
,,12.06.1977 Steuerharmonisierung,17373,10069,58,9930,3951,5979,40
,,12.06.1977 Umsatz- und direkte Bundessteuer,17373,10103,58,10014,3560,6454,36
